sampleid,average_mintemp,average_precip,average_veg,lnndvi,neonics,migratory_proxy,operation_type,operation_defined,stationary,honey,pollination,beeolddatamigratory,queen,yard,hobbiest,nuc,research,bumblebee,acetamiprid,clothianidin,dinotefuran,imidacloprid,thiacloprid,thiamethoxam,state,year,region,surveydate,y,x,month,mites,lnmites,nosema,lnnosema,abpv,abpv_d,bqcv,bqcv_d,dwv,dwv_d,cbpv,cbpv_d,iapv,iapv_d,kbv,kbv_d,sbpv,sbpv_d,trop,trop_d,n_apis,n_apis_d,n_ceranae,n_ceranae_d,a_cerana,n_ceranae_per,dwv_percentage,bqcv_percentage,nosema_d,mites_d,collection,submitdate,totalarea,cornall,corn,cotton,sorghum,soybeans,peanuts,winter_wheat,dbl_crop_winwht_soybeans,rye,oats,millet,other_hay_non_alfalfa,other_crops,watermelons,sod_grass_seed,fallow_idle_cropland,shrubland,barren,apples,pecans,aquaculture,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,deciduous_forest,evergreen_forest,mixed_forest,grassland_pasture,woody_wetlands,herbaceous_wetlands,dbl_crop_winwht_corn,pumpkins,dbl_crop_winwht_sorghum,dbl_crop_winwht_cotton,dbl_crop_soybeans_oats,barley,spring_wheat,safflower,alfalfa,misc_vegs___fruits,onions,tomatoes,cherries,grapes,almonds,walnuts,pistachios,triticale,olives,oranges,peppers,pomegranates,plums,lettuce,sunflower,sweet_corn,speltz,sugarbeets,dry_beans,hops,peaches,other_tree_crops,asparagus,cabbage,camelina,potatoes,clover_wildflowers,citrus,cantaloupes,strawberries,squash,dbl_crop_corn_soybeans,blueberries,pop_or_orn_corn,herbs,dbl_crop_oats_corn,peas,christmas_trees,carrots,flaxseed,lentils,tobacco,switchgrass,rice,greens,nectarines,radishes,dbl_crop_barley_sorghum,dbl_crop_barley_corn,dbl_crop_barley_soybeans,buckwheat,vetch,sweet_potatoes,mustard,canola,cucumbers,dbl_crop_soybeans_cotton,mint,durum_wheat,other_small_grains,caneberries,pears,perennial_ice_snow_,garlic,honeydew_melons,broccoli,apricots,dbl_crop_lettuce_durum_wht,dbl_crop_lettuce_cantaloupe,dbl_crop_lettuce_cotton,cauliflower,celery,eggplants,sugarcane,gourds,turnips,cranberries,rape_seed,a__,forest,perennial_ice_snow,grass_pasture,a_,nonag_undefined,prunes,clouds_no_data,developed,water,chick_peas,dbl_crop_durum_wht_sorghum,dbl_crop_durum_wh,agg_water,agg_developed,agg_barren,agg_forestedupland,agg_shrubland,agg_grassland,agg_wetlands,percorn,percornpt,plantcorn,corn_bts,corn_bte,percornbt,percotton,percottonpt,plantcotton,cotton_bts,cotton_bte,persorghum,persorghumpt,plantsorghum,sorghum_bts,sorghum_bte,persoybean,persoybeanpt,plantsoy,soybean_bts,soybean_bte,percanola,percanolapt,plantcanola,perspringwht,perspringwhtpt,plantspringw,perwinwht,perwinwhtpt,plantwinwht,perbarley,perbarleypt,plantbarley,perrice,perricept,plantrice,perdeveloped,perbarren,perforests,pershrubland,pergrassland,perwetland,canola_bts,canola_bte,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,lnprecipm,lnprecipa,region1,region2,region3,region4,region5,region6,region7,percorn_bts,percorn_bte,percotton_bts,percotton_bte,persorghum_bts,persorghum_bte,persoybean_bts,persoybean_bte,agg_natural,pernatural,lnmites1,_year
CA 43-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,CA,2013,6,2/25/2013,,,2,0.18000001,-1.7147985,0.15000001,-1.89712,-,0,,,+,1,-,0,-,0,-,0,-,0,-,0,,,,,-,,60,,,,,2/25/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,,,,,,,,,,,0.16551444,5
CA 44-2010,,13.406379,219.44336,5.3910942,,1,"Honey, Pollination",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,2010,6,5/2/2011,38.88531,-121.1115,5,2.4402146,0.89208603,5.0999999,1.6292405,N,0,,,Y,1,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,1,1,5/1/1951,5/2/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,2.5957305,0,0,0,0,0,1,0,,,,,,,,,,,1.2355338,2
CA 44-2011,11.41069,0,228.15547,5.4300275,0,1,Pollination and Honey,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,2011,6,8/14/2012,37.00767,-21.732023,8,6.0240965,1.7957675,0.80000001,-0.22314355,-,0,+,1,+,1,-,0,-,0,,,-,0,,,-,0,,,,,30th,70th,1,1,8/13/1952,8/14/2012,32544000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,121500,8100,0,0,13916700,8403300,3747600,19800,8100,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3199500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3114900,0,0,0,0,0,0,0,0,0,0,,3199500,129600,0,29182500,0,19800,8100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39823008,0,89.670906,0,0.060840707,0.024889382,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.4345505,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29210400,89.756638,1.9493465,3
CA 44-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,CA,2012,6,3/13/2013,39.18056,-121.66222,3,,,,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,,,-,0,+,1,,71.4,Below 30,31.5,,,3/12/1953,3/13/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,,,,,,,,,,,,4
CA 45-2010,7,0.79359603,208.31618,5.339057,,1,"Queen Production, Pollination, Honey",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2010,6,5/6/2011,39.64,-122.02254,5,1.9819249,0.6840685,2,0.69314718,N,0,,,Y,1,N,0,N,0,Y,1,N,0,N,0,N,0,Y,1,,,,,1,1,5/5/1951,5/6/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.9459101,-0.23118073,0,0,0,0,0,1,0,,,,,,,,,,,1.092569,2
CA 45-2011,,105.54537,205.68999,5.3263702,,0,queen production,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2011,6,1/30/2012,39.36919,-122.58981,1,0,,0,,N/A,,N/A,,N/A,,N/A,,N/A,,,,-,0,-,0,N/A,,N/A,,,,N/A,N/A,0,0,1/29/1952,1/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,4.6591411,0,0,0,0,0,1,0,,,,,,,,,,,0,3
CA 45-2012,13.485121,14.582026,218.09662,5.3849382,0,0,Honey production,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,2012,6,11/6/2012,33.20887,-117.1624,11,0.54462403,-0.60765958,0,,-,0,-,0,+,1,-,0,-,0,-,0,-,0,-,0,,,-,0,,40th,Below 30th,Below 30th,0,1,11/5/1952,11/6/2012,32535900,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,20944800,75600,0,0,0,0,6762600,2367900,645300,140400,0,90900,133200,1330200,40500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9916200,75600,224100,20944800,1330200,40500,0,0,0,0,0,0,0.013830876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.477718,0.23235872,0.68877763,64.374428,4.088407,0.12447789,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.6015868,2.6797898,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22539600,69.276093,0.43478054,4
CA 46-2010,,2,208.42384,5.3395739,,1,"Queen Production, Pollination",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2010,6,5/3/2011,38.54234,-121.94009,5,0.45411885,-0.78939629,0,,N,0,,,Y,1,N,0,Y,1,N,0,N,0,N,0,N,0,Y,1,,,,,0,1,5/2/1951,5/3/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0.69314718,0,0,0,0,0,1,0,,,,,,,,,,,0.37440011,2
CA 46-2011,14,0,204.44646,5.3203063,,0,queen production,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2011,6,6/25/2012,39.70716,-122.14162,6,0.16,-1.8325815,0.25,-1.3862944,N/A,,+,1,+,1,N/A,,N/A,,,,-,0,-,0,N/A,,N/A,,,,N/A,N/A,1,1,6/24/1952,6/25/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.6390574,,0,0,0,0,0,1,0,,,,,,,,,,,0.14842001,3
CA 46-2012,13.973701,14.031084,220.67082,5.3966722,0,0,Queen cell rearing for sale,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2012,6,11/7/2012,33.23829,-117.17894,11,11.422164,2.4355557,0.25,-1.3862944,-,0,+,1,+,1,-,0,-,0,-,0,-,0,-,0,,,-,0,,90th,60th,Below 30th,1,1,11/6/1952,11/7/2012,32537700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22164300,0,0,0,0,0,5911200,331200,14400,0,215100,326700,1635300,112500,29700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32400,0,0,0,1800,0,0,0,0,0,0,,7674300,560700,0,2106900,0,29700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7232318,0,6.4752579,0,0.091278732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.637177,2.6412752,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2136600,6.5665364,2.5194824,4
CA 46-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,CA,2013,6,2/24/2013,,,2,0.51999998,-0.65392649,0.40000001,-0.91629076,-,0,,,+,1,+,1,-,0,-,0,-,0,-,0,,,,,-,,50,,,,,2/24/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,,,,,,,,,,,0.41871032,5
CA 47-2010,7,1.3055317,188.04442,5.2366781,,1,"Queen Production, Pollination",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2010,6,5/4/2011,39.14919,-121.79093,5,0.14474294,-1.932796,0,,N,0,,,Y,1,N,0,N,0,Y,1,N,0,N,0,N,0,Y,1,,,,,0,1,5/3/1951,5/4/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.9459101,0.26661038,0,0,0,0,0,1,0,,,,,,,,,,,0.1351801,2
CA 47-2011,4,27.730686,216.96487,5.3797355,,1,Queen production and Pollination,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2011,6,2/27/2012,38.43748,-121.90591,2,4.159132,1.4253064,1.6,0.47000363,-,0,+,1,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,70th,60th,1,1,2/26/1952,2/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.3862944,3.3225396,0,0,0,0,0,1,0,,,,,,,,,,,1.6407683,3
CA 47-2012,1,10,203.27652,5.3145671,0,1,pollination,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,2012,6,3/1/2013,39.70852,-122.00368,3,0,,0,,-,0,-,0,-,0,-,0,-,0,-,0,-,0,,,,,-,0,,60th,Below 30th,Below 30th,0,0,2/28/1953,3/1/2013,32526900,456300,456300,3600,0,0,0,701100,0,0,9000,0,321300,0,0,0,4019400,0,121500,0,113400,0,18000,1564200,621900,180900,45000,7200,0,0,908100,343800,118800,900,0,0,0,0,0,0,0,1496700,0,0,20700,0,0,7651800,8932500,900,3600,124200,0,0,0,1103400,0,943200,0,0,0,125100,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,2565900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18000,2412000,121500,7200,0,908100,462600,1.4028388,0,0,0,0,0,0.011067762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1554468,0,0,0,0,0,7.8885474,0,0,7.415401,0.37353697,0.022135524,0,2.7918432,1.4222075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3025851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1377900,4.236186,0,4
CA 48-2010,6.4679108,4.7817416,216.01747,5.3753591,,1,"Queen Production, Pollination, Honey",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2010,6,5/6/2011,39.63951,-121.84387,5,5.3282185,1.6730169,9.1999998,2.2192035,N,0,,,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,1,1,5/5/1951,5/6/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.8668531,1.5648048,0,0,0,0,0,1,0,,,,,,,,,,,1.8450187,2
CA 48-2011,4,20.738153,201.47861,5.3056831,,1,Queen production and Pollination,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2011,6,2/21/2012,39.1724,-121.74883,2,0,,0,,-,0,+,1,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,30th,0,0,2/20/1952,2/21/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.3862944,3.031975,0,0,0,0,0,1,0,,,,,,,,,,,0,3
CA 48-2012,12,9.1198549,188.9332,5.2413936,0,1,Pollinatio & honey production,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,2012,6,11/5/2012,33.505,-117.00365,11,19.596195,2.9753354,0,,+,1,+,1,+,1,-,0,-,0,-,0,-,0,-,0,,,-,0,,Below 30th,70th,Below 30th,0,1,11/4/1952,11/5/2012,32534100,22500,0,0,0,0,0,0,1800,0,0,0,0,0,0,145800,19391400,0,0,0,0,0,2359800,9000,0,0,9000,6300,8393400,62100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,1188900,0,0,0,192600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189900,0,0,0,560700,0,0,0,0,0,0,,2552400,18000,0,8651700,0,0,0,0.069158204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.055326566,0,26.592714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4849067,2.210454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8651700,26.592714,3.0251064,4
CA 49-2010,3.1990891,6.4736247,210.00627,5.3471375,,1,"Queen Production, Pollination",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2010,6,5/6/2011,39.37039,-122.57466,5,0.34622443,-1.0606681,0,,N,0,,,Y,1,N,0,N,0,N,0,N,0,N,0,N,0,Y,1,,,,,0,1,5/5/1951,5/6/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.1628661,1.8677362,0,0,0,0,0,1,0,,,,,,,,,,,0.29730394,2
CA 49-2011,4,29.56115,201.96556,5.3080974,,1,Queen production and Pollination,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2011,6,2/27/2012,38.59151,-121.99332,2,0.094073378,-2.3636801,0,,+,1,+,1,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,Under30,0,1,2/26/1952,2/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.3862944,3.386461,0,0,0,0,0,1,0,,,,,,,,,,,0.089907773,3
CA 49-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,CA,2013,6,2/26/2013,35.643889,-119.22166,2,,,,,-,0,,,,,-,0,-,0,+,1,-,0,,,,,,,,,,,,,,2/26/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,,,,,,,,,,,,5
CA 50-2010,7,0.98253882,210.04115,5.3473034,,1,"Queen Production, Pollination, Honey",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2010,6,5/6/2011,39.645,-122.02254,5,0.27423558,-1.2937678,1.05,0.048790164,N,0,,,Y,1,N,0,N,0,Y,1,N,0,N,0,N,0,N,0,,,,,1,1,5/5/1951,5/6/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.9459101,-0.017615424,0,0,0,0,0,1,0,,,,,,,,,,,0.24234645,2
CA 50-2011,,172.33736,211.36571,5.35359,,1,Queen production and Pollination,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,2011,6,2/1/2012,40.64698,-122.22488,2,0.47114253,-0.75259465,0,,-,0,+,1,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,70th,0,1,1/31/1952,2/1/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,5.1494541,0,0,0,0,0,1,0,,,,,,,,,,,0.38603932,3
CA-02-2009,4,4,,,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,2009,6,11/16/2009,,,11,,,,,N,0,,,Y,1,N,0,N,0,N,0,N,0,,,N,0,N,0,,,,,0,1,11/15/1949,11/16/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3862944,1.3862944,0,0,0,0,0,1,0,,,,,,,,,,,,1
CA-03-2009,4,4,,,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,2009,6,11/16/2009,,,11,,,,,N,0,,,Y,1,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,11/15/1949,11/16/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3862944,1.3862944,0,0,0,0,0,1,0,,,,,,,,,,,,1
CA-04-2009,4.4104433,14.374833,202.96107,5.313014,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,2009,6,11/17/2009,,,11,,,,,Y,1,,,Y,1,N,0,Y,1,Y,1,N,0,N,0,N,0,N,0,,,,,0,1,11/16/1949,11/17/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.4839752,2.6654789,0,0,0,0,0,1,0,,,,,,,,,,,,1
CA-05-2009,4,4,,,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,2009,6,11/17/2009,,,11,,,,,N,0,,,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,11/16/1949,11/17/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3862944,1.3862944,0,0,0,0,0,1,0,,,,,,,,,,,,1
