"sampleid","x","y","month","year"
"UT 17-2012",-111.60907,40.11955,6,2013
"FL 08-2011",-82.250153,28.4167,3,2012
"NE 01-2012",-6.3632898,41.0586,5,2013
"MI 24-2013",-86.31859,41.9784,10,2013
"SD 04-2013",-99.17214,43.95125,10,2013
"CA 36-2012",-116.85839,33.44556,11,2012
"MD 19-2012",-76.856087,39.15651,6,2013
"NE 06-2012",-96.425011,41.1581,5,2013
"SC 08-2013",-80.08595,33.71248,4,2014
"WV 16-2012",-77.889687,39.38927,9,2012
"ND 01-2012",-101.25905,46.52166,7,2012
"NY 11-2011",-100.92752,48.07753,7,2011
"IN 14-2012",-87.561058,38.59273,10,2012
"AR 24-2013",-91.95829,34.30891,9,2013
"CA 16-2012",-122.0863,39.79581,2,2013
"NY 01-2012",-76.927147,42.94159,8,2012
"CA 27-2012",-121.83425,39.62484,3,2013
"HI 12-2012",-156.44032,20.68333,2,2013
"CA 25-2012",-116.9826,33.29065,11,2013
"NY 06-2013",-76.8457419,43.199487,7,2013
"MN 5-2012",-92.575089,43.91798,5,2013
"CA 21-2013",-122.200127,39.716873,4,2014
"ND 10-2012",-99.397797,48.3031,6,2012
"CA 17-2013",-122.230073,40.613031,4,2014
"AL 06-2012",-85.346649,31.15535,10,2012
"GA 17-2013",-81.95409,32.40414,9,2013
"NJ 02-2012",-74.57,40.46399,9,2012
"MA 11-2012",-70.909927,41.89767,7,2012
"GA 16-2012",-82.217178,31.62987,8,2012
"WI 24-2012",-87.96907,43.29163,9,2012
"TX 10-2011",-94.766579,30.12449,10,2011
"FL 01-2011",-82.349113,28.45842,3,2012
"WI 05-2011",-78.925568,39.32926,9,2011
"ND 05-2013",-98.591569,47.576294,8,2013
"PA 14-2012",-76.858849,41.05728,10,2012
"SC 23-2012",-82.189453,34.51653,7,2013
"OH 09-2012",-83.554901,41.0353,7,2013
"FL 12-2011",-82.250183,28.41687,3,2012
"TX 14-2013",-98.99599788,34.0519868,9,2013
"NY 13-2011",-98.32415,48.54391,7,2011
"CA 03-2012",-121.83425,39.62484,3,2013
"MD 21-2012",-76.3657,39.37057,6,2013
"SD 13-2012",-101.65652,43.83878,10,2012
"CA 01-2011",-117.19898,33.36161,11,2011
"SC 14-2012",-82.191147,34060288,7,2013
"CO 09-2011",-108.09741,38.66435,10,2011
"NJ 16-2012",-74.915863,39.91605,8,2012
"FL 06-2011",-81.600182,28.05017,3,2012
"CA 24-2013",-121.150127,39.033472,3,2014
"GA 13-2013",-81.95068,32.3213,9,2013
"CO 01-2012",-105.91186,37.4347,7,2013
"TX 02-2011",-96.383438,32.96678,9,2011
"MN 12-2013",-94.38956,46.60461,9,2013
"IL 3-2012",-89.102013,37.97645,9,2012
"MA 13-2012",-71.513046,42.42613,8,2012
"WI 16-2011",-80.793823,38.35107,9,2011
"CA 19-2011",-120.83353,37.55018,1,2012
"CO 02-2011",-104.64187,38.57055,10,2011
"TN 03-2013",-89.936395,35.211334,8,2013
"CA 19-2013",-121.816799,39.70015,6,2014
"SC 16-2013",-82.39122,34.99049,6,2014
"TN 13-2010",-86.48185,35.49336,9,2010
"IN 21-2011",-93.587959,41.54088,10,2011
"ND 16-2013",-102.07417,48.27663,8,2013
"PA 23-2013",-79.02801,41.18346,9,2013
"MI 13-2011",-83.878036,43.0474,10,2011
"MI 13-2010",-82.736313,43.63423,10,2010
"ID 11-2011",-87.649719,38.58777,8,2012
"HI 12-2011",-157.06667,21.50021,12,2011
"NH 14-2011",-71.699997,42.853,7,2012
"ND 23-2013",-97.950105,48.616893,7,2013
"IN 04-2012",-85.103973,39.19543,8,2012
"NE 22-2012",-96.92968,40.7924,7,2013
"NM 03-2011",-79.604507,35.37159,10,2011
"AL 03-2012",-86.878082,33.67065,9,2012
"NC 21-2012",-35.58992,79.70454,8,2012
"AR 11-2011",-92.342987,35.71911,5,2011
"IA 06-2013",-91.300138,42.416751,8,2013
"OH 16-2013",-83.314323,39.493666,10,2014
"TX 16-2013",-98.963493,29.046476,12,2013
"IN 23-2011",-95.421066,41.6188,10,2011
"MI 15-2011",-82.828629,44.00709,10,2011
"AL 03-2010",-85.371948,31.29228,8,2010
"NJ 11-2012",-74.891457,38.99789,10,2012
"IL 07-2011",-85.092323,39.12031,9,2011
"HI 02-2011",-156.89346,20.88107,11,2011
"MI 15-2013",-82.75871,43.23832,10,2013
"AR 19-2011",-92.164169,35.90655,5,2011
"ND 05-2012",-97.616669,46.61683,7,2012
"AL 16-2013",-87.04082,34.74507,9,2013
"MI 16-2010",-85.016609,42.77483,8,2010
"MI 18-2013",-86.24718,41.96568,10,2013
"FL 22-2011",-85.640038,30.73108,3,2012
"IA 08-2012",-95.765442,41.06594,6,2013
"MI 03-2013",-83.15364,43.57518,10,2013
"AL 10-2012",-86.005302,32.62959,11,2012
"OH 08-2011",-83.040627,40.01088,4,2012
"AL 03-2011",-85.984718,32.54861,9,2011
"HI 09-2010",-157.80099,21.3081,4,2011
"WI 15-2011",-80.471603,37.66274,9,2011
"NE 14-2012",-95.582199,41.1832,7,2013
"NV 09-2013",-118.471412,39.292189,10,2014
"OH 19-2011",-83.280441,39.4916,8,2012
"WV 09-2011",-89.675949,42.97119,8,2011
"TN 10-2012",-89.623596,35.01402,4,2013
"NE 12-2011",-106.6796,35.07228,8,2011
"ND 19-2013",-97.950096,46.850046,7,2013
"TX 19-2010",-96.305794,30.70161,10,2010
"MI 11-2010",-85.543404,43.73913,8,2010
"MT 17-2011",-106.15184,45.34502,6,2012
"NE 11-2011",-106.69771,34.88033,8,2011
"TN 21-2012",-84.254799,36.05647,3,2013
"AR 15-2011",-91.315224,33.50273,9,2011
"WI 16-2013",-88.624504,43.034141,9,2013
"SC 04-2012",-81.983948,34.6511,8,2013
"TX 22-2010",-96.069344,31.45957,12,2010
"TX 17-2010",-94.016899,30.45404,10,2010
"MD 22-2012",-76.666733,39.70994,6,2013
"IA 03-2012",-93.145538,42.1144,10,2012
"MN 13-2011",-94.157257,46.32984,6,2012
"ID 07-2012",-116.1199,43.55577,8,2012
"PA 06-2010",-75.823433,39.98893,6,2010
"NJ 14-2012",-74.725761,39.25941,10,2012
"SC 13-2013",-81.83698,34.4398,5,2014
"WV 18-2012",-80.407623,39.1092,10,2012
"TX 11-2011",-94.596512,29.98452,10,2011
"SD 08-2011",-98.731789,44.90048,9,2011
"IN 19-2012",-86.928268,40.4046,5,2013
"VA 01-2012",-80.461998,37.2243,7,2013
"WV 18-2011",-88.13044,43.24251,9,2011
"MI 06-2013",-84.15137,43.34296,10,2013
"MI 24-2011",-84.615273,41.8866,11,2011
"AL 09-2011",-85.766815,31.98356,10,2011
"NY 06-2012",-78.432899,42.97702,7,2012
"NY 17-2010",-77.276642,42.9498,7,2010
"MI 19-2010",-83.458397,42.69989,9,2010
"AL 21-2012",-87.690079,30.55124,10,2012
"WA 24-2010",-122.54143,47.12253,4,2011
"CA 10-2011",-117.32634,33.43534,11,2011
"PA 10-2011",-80.193268,40.66207,9,2011
"WA 11-2010",-122.19985,45.38426,4,2011
"NY 22-2013",-73.36697,43.348713,9,2013
"OH 14-2012",-83.949997,39.6775,6,2013
"IN 15-2012",-87.464142,39.27852,10,2012
"UT 16-2011",-113.5006,37.1073,9,2011
"CA 04-2011",-117.04894,33.21212,11,2011
"WV 01-2012",-80.554131,38.77681,10,2012
"WI 04-2013",-88.04765,42.87441,9,2013
"TN 15-2013",-85.030893,36.031942,8,2013
"FL 21-2010",-80.577118,27.07908,3,2011
"SD 22-2012",-101.15651,45.0382,9,2012
"IL 14-2013",-89.40522,39.84222,7,2013
"IA 03-2011",-116.81272,43.65605,9,2011
"LA 14-2011",-92.493584,30.21515,9,2011
"CA 48-2011",-121.74883,39.1724,2,2012
"OH 08-2013",-81.25382,39.37499,6,2014
"NH 10-2011",-71.469002,43.301,6,2012
"TN 06-2010",-85.228508,36.25601,9,2010
"ID 17-2011",-89.443336,39.75083,6,2012
"IL 01-2011",-86.467674,41.45574,9,2011
"MI 12-2012",-83.010567,43.30413,10,2012
"CA 34-2010",-122.20747,39.729,3,2011
"TN 14-2010",-82.507027,36.52966,4,2011
"PA 02-2013",-75.3486,40.58834,8,2013
"TX 01-2010",-97.166687,32.58349,7,2010
"MI 12-2010",-84.180206,43.37767,9,2010
"NH 17-2011",-71.252998,43.031,7,2012
"GA 19-2013",-82.01546,31.65947,9,2013
"TX 17-2012",-94.161697,31.41859,5,2013
"IN 05-2010",-86.485527,39.73449,6,2010
"NY 05-2012",-77.276947,42.95059,7,2012
"CA 35-2011",-121.29502,39.84768,1,2012
"PA 25-2011",-77.735771,40.21957,10,2011
"WI 11-2013",-88.32709,42.92604,9,2013
"NJ 25-2011",-74.577042,40.46127,10,2011
"SD 07-2013",-100.1942898,44.3786752636,7,2014
"NH 22-2011",-71.488998,43.272,8,2012
"PA 18-2010",-75.160461,40.29685,9,2010
"CO 16-2011",-105.10177,39.54836,10,2011
"AR 17-2012",-94.207123,36.02145,8,2012
"MI 09-2011",-84.948303,43.7126,9,2011
"NY 02-2011",-100.55151,48.09498,7,2011
"MA 10-2012",-0.76883298,41.8889,7,2012
"SD 13-2013",-98.276117333,44.5926744757,6,2014
"ID 02-2012",-113.72478,42.55163,8,2012
"WI 11-2012",-88.161392,42.96023,4,2013
"NY 12-2010",-75.578949,44.22556,7,2010
"MI 08-2013",-83.84864,42.80476,9,2013
"ID 06-2012",-114.83453,42.50399,8,2012
"HI 17-2011",-155.94647,19.61054,12,2011
"OH 19-2013",-81.89018,40.919307,8,2014
"SD 14-2012",-97.305618,44.15673,10,2012
"MN 12-2011",-93.259354,44.47555,6,2012
"HI 14-2010",-155.41901,20.0583,4,2011
"CO 05-2011",-108.65395,39.19652,10,2011
"IA 15-2013",-94.00841,41.51786,6,2014
"SD 08-2013",-96.754903375,45.3517113127,6,2014
"NC 17-2011",-99.126205,41.42334,9,2011
"OH 17-2013",-81.172156,40.4551667,7,2014
"NM 16-2011",-76.158882,35.15888,7,2012
"NJ 08-2012",-74.916138,40.38199,9,2012
"MI 23-2012",-86.1996,42.04713,10,2012
"PA 22-2010",-80.208061,41.34994,9,2010
"AR 21-2013",-91.34102,35.48857,9,2013
"NE 23-2012",-96.056618,41.3354,7,2013
"MT 15-2013",-109.29504,48.5589,6,2013
"MD 22-2011",-75.792038,38.57353,6,2012
"HI 19-2010",-157.07962,21.13748,NA,NA
"IL 8-2012",-89.491287,41.28576,9,2012
"CA 39-2010",-122.23559,40.61388,3,2011
"AL 20-2010",-87.590477,34.2696,9,2010
"NJ 12-2012",-74.478577,41.18595,9,2012
"CA 40-2013",-119.664722,35.558056,2,2014
"HI 17-2010",-155.47913,19.22827,12,2010
"NY 02-2012",-75.590767,43.90358,8,2012
"CA 26-2011",-120.80007,37.66677,1,2012
"NV 17-2013",-115.30812,36.234278,11,2014
"NJ 23-2011",-74.391258,40.31352,9,2011
"GA 03-2010",-83.186249,31.99956,6,2010
"SD 23-2010",-103.34288,44.61726,10,2010
"NJ 22-2013",-74.72555,39.25977,9,2013
"MN 15-2013",-93.75385,44.9839,6,2014
"VA 05-2012",-81.479233,36.83475,10,2012
"NM 10-2011",-77.904716,34.42232,7,2012
"HI 32-2010",-154.98801,19.589,4,2011
"PA 16-2010",-78.025429,40.78746,9,2010
"SD 16-2013",-103.02777,45.82787,9,2013
"NJ 16-2011",-74.691818,41.19832,10,2011
"AL 22-2011",-87.366707,34.76675,10,2011
"PA 18-2012",-79.765099,40.47558,9,2012
"AL 01-2013",-88.2568,30.89446,5,2014
"CA 16-2011",-120.26679,37.15004,1,2012
"MD 01-2011",-77.194466,39.33058,7,2011
"NY 14-2010",-77.984398,43.0775,7,2010
"OH 21-2013",-84.42543,39.492137,8,2014
"FL 01-2013",-87.29822,30.43219,9,2013
"NC 07-2012",-76.384262,5.55374,6,2013
"MI 04-2010",-85.827057,44.75337,8,2010
"IA 06-2011",-14.762808,42.67364,10,2011
"TX 08-2013",-97.82156,26.30178,10,2013
"TN 10-2011",-89.278679,35.038,4,2012
"AL 11-2011",-88.366913,31.30007,11,2011
"MT 17-2013",-108.22675,48.39043,6,2013
"IL 03-2013",-88.10324,42.40667,7,2013
"NY 07-2011",-100.84132,47.99945,7,2011
"HI 08-2011",-155.04176,19.62221,3,2012
"WI 20-2013",-89.246174,44.502673,9,2013
"CA 23-2013",-121.81081,38.44547,2,2014
"TN 22-2013",-84.082566,35.7649,5,2014
"GA 10-2010",-82.877632,31.61458,7,2010
"MN 15-2012",-94.292938,45.71422,6,2013
"MN 11-2013",-93.4505,44.758558,9,2013
"DE 20-2011",-75.537514,39.11625,8,2012
"UT 05-2012",-111.81008,41.79247,9,2012
"OH 23-2013",-84.46534,41.27574,9,2014
"NY 03-2010",-79.466103,42.20966,9,2010
"NE 09-2011",-105.58358,36.51691,8,2011
"HI 01-2011",-156.94905,20.79725,11,2011
"ND 13-2011",-76.805099,43.2327,8,2011
"WI 23-2011",-81.126083,38.47261,10,2011
"WI 19-2013",-89.59198,43.11732,9,2013
"AL 24-2013",-86.75352,34.30247,10,2013
"AL 12-2011",-88.216835,30.65007,11,2011
"CA 08-2010",-120.1768,36.98159,1,2011
"NE 02-2012",-95.5625,40.0859,7,2013
"HI 26-2010",-159.55983,21.91507,11,2010
"ND 11-2011",-76.920769,43.18965,7,2011
"MN 19-2011",-94.516579,45.75916,6,2012
"TN 05-2010",-89.495132,36.19121,10,2010
"NY 14-2013",-74.2122537,42.860085,7,2013
"AL 18-2013",-86.68517,33.39851,10,2013
"IN 01-2012",-84.908493,38.93535,7,2012
"ND 07-2012",-99.874451,48.39634,7,2012
"HI 06-2011",-157.80202,21.30802,1,2012
"WI 22-2013",-89.79098,43.16709,10,2013
"IA 20-2011",-116.80506,43.56561,5,2012
"NE 03-2012",-95.360603,40.0426,7,2013
"FL 23-2013",-80.833336,28.650196,3,2014
"OH 11-2012",-83.885902,39.6933,6,2013
"WI 21-2011",-81.945633,38.17015,10,2011
"NY 25-2010",-78.920036,42.49636,8,2010
"OH 15-2013",-81.56592,41.63026,8,2013
"NY 24-2010",-76.096123,44.06015,7,2010
"TN 03-2010",-84.836479,35.39076,6,2010
"IA 11-2011",-114.22565,43.3602,10,2011
"VA 14-2011",-77.278976,37.19261,11,2011
"SD 18-2012",-98.80233,44.89309,10,2012
"CA 46-2010",-121.94009,38.54234,5,2011
"WV 17-2011",-91.190521,43.85384,8,2011
"ND 12-2012",-75.249702,48.5836,6,2012
"CA 29-2010",-116.96011,33.0835,2,2011
"FL 22-2013",-81.983525,28.583607,1,2014
"ND 01-2011",-75.09893,43.10092,8,2011
"MT 22-2013",-109.24833,45.656589,6,2013
"MN 08-2013",-95.39362,45.98787,10,2013
"MN 1-2011",-95.12088,46.16552,6,2012
"IL 05-2011",-86.383102,39.566,9,2011
"NC 24-2012",-79.667107,35.81915,8,2012
"UT 22-2011",-111.60705,39.3065,8,2011
"MN 10-2012",-93.369919,45.23889,5,2013
"MI 06-2011",-86.083061,42.7603,8,2011
"OH 05-2011",-82.832352,40.01864,10,2011
"NJ 18-2011",-75.044289,40.58368,5,2012
"MD 04-2011",-77.754387,39.55657,8,2011
"CA 21-2012",-120.32937,37.11282,1,2013
"OH 07-2012",-82.27327,38.98133,9,2012
"CA 41-2013",-120.516906,37.366799,1,2014
"GU 21-2013",-144.73659,13.25936,5,2014
"NE 10-2011",-106.71803,34.74803,7,2011
"AL 10-2010",-85.910912,34.14598,8,2010
"TN 05-2013",-84.146906,36.27886,5,2014
"LA 11-2011",-91.916862,31.03555,8,2011
"VA 10-2011",-80.763641,37.06925,10,2011
"NY 04-2011",-100.84016,48.51418,8,2011
"PA 20-2011",-78.145699,40.69804,8,2011
"IL 15-2011",-86.141197,38.77381,9,2011
"NC 23-2011",-98.568336,41.285,8,2011
"HI 02-2010",-155.47913,19.22827,12,2010
"NC 16-2011",-99.578102,41.64265,9,2011
"UT 21-2011",-112.64609,39.27591,8,2011
"PA 17-2012",-77.042801,41.33371,6,2013
"MI 24-2010",-83.090599,42.34114,9,2010
"NY 24-2011",-97.889442,46.87555,8,2011
"OH 12-2013",-80.705,40.434112,7,2014
"NV 08-2013",-119.703277,39.369995,10,2014
"IA 07-2013",-90.083055,42.858055,7,2013
"WI 25-2011",-80.699783,38.62772,10,2011
"FL 24-2010",-82.322357,27.68986,4,2011
"FL 21-2013",-82.3214111,27.6893005,1,2014
"MD 25-2011",-76.278122,39.43122,7,2012
"NM 20-2011",-80.250923,35.47983,NA,2012
"LA 14-2012",-93.600212,32.43341,3,2013
"NC 12-2013",-77.15152,34.48167,6,2013
"OH 01-2012",-82.640991,39.7944,10,2012
"MI 20-2012",-83.057419,43.2967,10,2012
"MI 25-2010",-85.935593,42.88073,8,2010
"NM 11-2011",-76.626999,35.9131,7,2012
"ND 23-2011",-73.451584,43.95686,7,2011
"VA 17-2011",-78.273582,37.25322,4,2012
"WI 14-2011",-80.662453,38.29818,9,2011
"AR 10-2011",-92.326721,36.41778,5,2011
"NJ 06-2011",-74.340317,40.87648,9,2011
"ND 08-2013",-100.1538,47.6176,7,2013
"HI 03-2012",-158.14578,21.57508,9,2012
"AR 20-2013",-92.17388,34.844099,9,2013
"HI 16-2011",-159.55916,21.91548,2,2012
"GA 12-2010",-81.88076,31.16805,7,2010
"MN 16-2013",-91.521111,43.815,10,2013
"TX 16-2010",-98.890099,29.00707,9,2010
"MN 17-2011",-92.497627,44.19035,6,2012
"NC 06-2011",-96.280014,40.92555,8,2011
"DE 23-2011",-75.537514,39.11625,8,2012
"NC 05-2011",-96.372498,40.04555,8,2011
"CA 18-2010",-122.21152,40.56416,3,2011
"SD 20-2010",-98.128891,43.53838,10,2010
"NY 10-2010",-76.035797,43.7638,8,2010
"CA 37-2010",-122.1156,39.79333,3,2011
"MI 03-2011",-85.775558,43.09246,8,2011
"NE 19-2011",-105.65685,36.13402,8,2011
"MN 13-2013",-92.648028,44.082642,6,2014
"AL 02-2013",-85.549448,31.24316,4,2014
"WA 13-2010",-120.659,46.745,4,2011
"NC 02-2011",-96.749123,40.85089,8,2011
"NH 20-2011",-71.149002,43.653,7,2012
"CA 31-2011",-120.75025,37.60019,1,2012
"NH 06-2011",-71.245003,43.423,9,2011
"MD 14-2012",-76.827263,38.40117,4,2013
"ID 09-2011",-90.11805,38.39205,6,2012
"CA 18-2011",-120.36669,37.06691,1,2012
"CA 26-2012",-122.38943,40.3026,2,2013
"IN 16-2011",-92.84758,41.75226,10,2011
"SC 03-2012",-80.137619,34.18119,8,2013
"MT 22-2011",-111.93161,46.6226,6,2012
"OK 21-2012",-95.352226,36.2398,12,2012
"TN 02-2012",-86.305527,36.4169,5,2013
"MT 20-2013",-108.68805,45.78302,6,2013
"ID 18-2011",-89.779442,40.79388,6,2012
"UT 10-2013",-111.84005,41.311,9,2013
"NC 11-2011",-97.096947,40.91111,9,2011
"HI 07-2011",-156.43597,20.71224,3,2012
"IN 09-2010",-85.000282,41.31911,6,2010
"IN 17-2013",-85.957563,38.2657,9,2013
"OK 04-2012",-96.05098,34.68881,4,2013
"PA 11-2011",-79.56089,39.80522,9,2011
"SC 12-2011",-80.960297,34.98073,5,2012
"MT 15-2011",-112.28491,48.25325,6,2012
"ND 20-2012",-98.050163,46.8835,7,2012
"WV 22-2013",-81.54725,38.95047,8,2013
"LA 19-2011",-93.699142,32.03791,11,2011
"NE 15-2011",-106.48,32.16,8,2011
"CA 17-2012",-120.60246,36.72798,1,2013
"MI 02-2010",-82.559227,43.21553,9,2010
"MI 06-2012",-84.44339,43.32332,10,2012
"TX 07-2010",-97.29258,30.99123,8,2010
"ND 04-2012",-101.95727,47.30195,7,2012
"OH 12-2012",-82.818062,40.4361,7,2013
"TN 20-2011",-86.268822,36.3054,3,2012
"MN 21-2011",-94.389503,46.60479,6,2012
"SC 22-2012",-80.748329,32.2141,8,2013
"OH 21-2011",-82.097099,40.66524,8,2012
"MT 08-2013",-104.27733,47.56837,5,2013
"ND 22-2012",-47.81675,100.9313,7,2012
"GA 08-2010",-83.192635,31.67735,7,2010
"GA 03-2012",-82.260307,31.60161,10,2012
"MI 03-2010",-84.111076,43.34306,9,2010
"WV 05-2011",-88.084869,43.28064,8,2011
"PA 15-2011",-75.282539,41.53096,8,2011
"MN 24-2012",-95.875603,48.84086,6,2013
"MT 05-2013",-112.37253,47.50133,5,2013
"IA 12-2013",-93.43963,43.07252,11,2013
"NY 21-2013",-75.24431,42.538772,7,2013
"WI 12-2011",-80.768997,39.71336,9,2011
"MT 04-2011",-113.90942,46.8764,9,2011
"IN 13-2010",-86.448471,39.43168,7,2010
"FL 22-2012",-84.988739,29.72165,9,2012
"CA 10-2010",-120.48808,37.50797,1,2011
"MN 3-2011",-95.165543,45.09838,6,2012
"MT 02-2011",-112.00895,46.65297,9,2011
"CA 11-2011",-117.41081,34.23437,11,2011
"ND 02-2011",-74.599503,42.50526,7,2011
"CA 01-2010",-119.06294,35.76648,1,2011
"SD 21-2013",-103.90353,44.75642,9,2013
"ND 04-2011",-75.297112,44.72731,7,2011
"AR 11-2012",-90.204628,35.73907,8,2012
"VA 07-2011",-79.988373,37.08887,10,2011
"WV 08-2011",-89.123001,43.35799,8,2011
"NJ 10-2012",-74.569443,40.56441,9,2012
"PA 19-2013",-77.24143,40.19424,6,2014
"MD 16-2013",-76.33864,39.64491,5,2014
"SC 09-2011",-79.531799,33.67216,3,2012
"NJ 24-2011",-74.946999,40.5937,9,2011
"FL 21-2011",-81.32254,30.3177,2,2012
"IN 06-2012",-84.983215,39.00124,8,2012
"UT 11-2011",-113.65954,37.13353,9,2011
"CA 32-2010",-117.00385,33.46996,2,2011
"HI 23-2012",-155.12903,19.25509,4,2013
"IN 18-2012",-86.948929,40.44274,5,2013
"MN 8-2012",-92.740593,45.98561,6,2013
"PA 22-2012",-79.85273,41.37435,10,2012
"SD 06-2013",-97.016236729,45.3294515658,6,2014
"DE 01-2011",-75.64003,38.68475,7,2012
"FL 19-2010",-82.358833,29.63446,2,2011
"SC 02-2012",-81.189522,32.55402,8,2013
"HI 24-2011",-159.39946,21.96606,12,2011
"UT 20-2011",-111.90758,40.40222,8,2011
"UT 12-2013",-111.893,40.64303,9,2013
"MI 15-2012",-84.592888,42.49323,10,2012
"NH 16-2011",-71.314003,43.056,7,2012
"SC 24-2011",-82.773247,34.82479,5,2012
"TX 24-2012",-94.581154,30.026,6,2013
"FL 03-2013",-85.542109,30.913375,9,2013
"NY 25-2011",-100.4625,46.93944,8,2011
"NV 23-2013",-118.442415,40.23927,10,2014
"FL 06-2010",-87.516487,30.9415,3,2011
"ND 10-2011",-76.662888,43.23401,7,2011
"MT 13-2011",-9.341197,47.52309,4,2012
"IL 13-2011",-85.762711,39.74056,9,2011
"FL 18-2013",-81.966787,28.450188,12,2013
"VA 06-2013",-76.7364,36.6297,10,2013
"NJ 15-2011",-75.116524,39.50597,5,2012
"WV 06-2011",-88.734131,44.53171,8,2011
"GA 25-2011",-82.240608,31.45717,11,2011
"NM 18-2011",-79.213837,34.90525,7,2012
"FL 14-2011",-84.948517,30.34347,2,2012
"OK 09-2012",-96.891258,36.13994,6,2013
"NJ 04-2011",-74.853317,39.36538,8,2011
"IL 13-2012",-88.492226,42.32027,10,2012
"TX 19-2013",-94.996601,30.497981,4,2014
"NM 17-2011",-77.6325,36.15777,7,2012
"NM 22-2011",-82.259048,35.60222,7,2012
"UT 03-2011",-109.55607,40.41338,9,2011
"UT 05-2013",-111.97738,41.96649,9,2013
"SD 23-2013",-103.42628,44.64308,9,2013
"UT 05-2011",-111.82135,41.84138,7,2011
"MA 4-2012",-71.72982,42.04835,10,2012
"IN 20-2010",-86.901237,39.87177,9,2010
"LA 15-2011",-92.150017,30.21674,9,2011
"DE 06-2011",-75.532692,38.80541,8,2012
"NV 05-2013",-119.164028,38.85401,10,2014
"CO 21-2011",-105.91198,37.43496,6,2012
"TN 24-2013",-85.415543,35.818918,5,2014
"MT 21-2013",-108.73398,45.64392,6,2013
"MT 10-2011",-108.99927,45.3269,10,2011
"TN 19-2013",-82.258719,36.425717,8,2013
"IN 13-2012",-85.554916,38.70831,10,2012
"HI 19-2011",-159.51358,21.91514,12,2011
"NJ 08-2011",-74.586731,40.47051,9,2011
"AR 02-2011",-92.994553,34.49545,3,2011
"IL 08-2011",-86.579025,39.35797,9,2011
"IA 06-2012",-93.366318,41.81757,6,2013
"NV 19-2013",-115.121432,36.185191,11,2014
"WA 19-2010",-120.504,46.491,4,2011
"MD 15-2013",-76.05906,39.01949,5,2014
"TX 12-2011",-94.017929,30.45533,10,2011
"WA 16-2010",-122.5913,48.14331,9,2010
"NV 22-2013",-119.718277,39.409812,10,2014
"SD 17-2012",-97.54583,45.42418,10,2012
"HI 30-2010",-155.269,19.439,4,2011
"OK 07-2012",-94.818871,33.97561,4,2013
"NY 01-2013",-78.575124,43.313357,8,2013
"FL 05-2012",-87.38826,30.52827,10,2012
"MD 19-2011",-76.336319,39.4679,10,2011
"GU 23-2013",-145.71101,15.143686,6,2014
"TX 21-2011",-106.15519,31.4758,12,2011
"NY 04-2010",-76.909264,43.19371,7,2010
"WA 10-2010",-117.93884,46.23739,9,2010
"WV 23-2013",-81.44029,39.37368,9,2013
"FL 11-2012",-82.250198,28.36678,12,2012
"FL 20-2011",-82.425323,29.71057,2,2012
"VA 22-2011",-80.381927,37.21921,4,2012
"NY 07-2010",-74.971489,43.19262,8,2010
"CA 13-2010",-120.56444,37.64713,1,2011
"CA 37-2013",-120.500194,37.366689,1,2014
"NH 09-2011",-71.495003,42.87,6,2012
"NY 20-2010",-78.133698,42.59812,9,2010
"WV 06-2012",-82.479233,38.36695,10,2012
"NY 09-2010",-73.42173,43.88263,7,2010
"ND 02-2013",-98.79086,47.8329,7,2013
"NY 06-2010",-74.79435,44.96345,8,2010
"IL 14-2012",-88.005272,42.42916,10,2012
"OH 09-2013",-82.37076,38.544331,8,2014
"NY 11-2010",-76.644623,43.32566,7,2010
"AL 13-2012",-85.956123,31.88912,10,2012
"WI 09-2012",-88.854027,43.29661,10,2012
"MI 21-2010",-82.658577,43.53673,10,2010
"MD 02-2011",-77.782257,39.5992,7,2011
"IN 25-2011",-91.598999,40.625,11,2011
"TX 09-2010",-98.200172,29.20011,8,2010
"MT 10-2013",-105.55335,48.08393,5,2013
"AR 24-2011",-91.952942,34.83556,10,2011
"CA 32-2011",-120.36669,37.06691,1,2012
"IL 20-2011",-85.645981,40.66415,10,2011
"MT 25-2011",-111.21071,45.70663,6,2012
"FL 20-2010",-80.515007,27.05247,4,2011
"MI 20-2011",-86.260353,42.03102,10,2011
"CA 12-2011",-117.32439,33.45082,11,2011
"AL 15-2010",-87.570511,30.43005,9,2010
"VA 01-2011",-76.198936,36.90877,9,2011
"TN 24-2010",-86.827263,35.76165,4,2011
"WA 06-2010",-122.24343,48.40775,4,2011
"ID 02-2011",-90.490829,42.44694,8,2012
"ND 13-2013",-102.062,48.71992,8,2013
"SC 20-2013",-82.086143,34.50335,7,2014
"IL 2-2012",-91.205132,39.75587,9,2012
"WI 23-2013",-88.853885,43.296949,10,2013
"HI 03-2011",-156.31667,20.93322,3,2012
"WI 22-2011",-82.510246,38.13693,10,2011
"IA 21-2013",-93.64257,41.90825,6,2014
"TN 01-2013",-84.261355,35.58094,5,2014
"WV 24-2012",-79.997498,39.51138,10,2012
"TX 23-2010",-94.60379,31.65767,3,2011
"UT 14-2012",-111.85804,40.75974,5,2013
"WA 20-2010",-120.508,46.654,4,2011
"HI 05-2010",-155.66714,19.0491,12,2010
"OH 01-2013",-81.482043,40.122483,6,2014
"NY 13-2013",-73.558452,43.222034,8,2013
"OH 02-2013",-80.511019,40.243212,7,2014
"OH 03-2011",-82.756569,39.95521,10,2011
"CA 09-2010",-120.08379,37.06883,1,2011
