"sampleid","y","x","sunflower","month","year","nosema","mites","state","totalarea","average_mintemp","average_precip","month8","month9","colonysize","sf_2mile_percent","sf_2mile_acres"
"LA 07-2012",30.53356,-89.883415,0,10,2012,0,13.34126,"LA",32535000,11,39,0,0,NA,0,0
"MD 02-2012",39.46447,-76.845551,0,9,2012,0,9.7855835,"MD",32533200,18.342222,112.97334,0,1,NA,0,0
"FL 23-2012",30.43219,-87.298218,0,10,2012,0.40000001,0.82435346,"FL",32532300,14.6,58.79,0,0,NA,0,0
"MI 09-2012",42.8108,-86.164886,0,9,2012,0,10.656109,"MI",32533200,15,66.441719,0,1,NA,0,0
"MI 14-2012",42.85737,-85.197502,0,10,2012,0,2.2068617,"MI",32531400,4,134.14648,0,0,NA,0,0
"ND 02-2012",48.41329,-100.03865,611100,7,2012,0.34999999,0.88357586,"ND",32532300,10,83.238609,0,0,NA,0.0187844081113232,151.005965118635
"NJ 24-2012",39.77205,-74.307968,0,9,2012,0.050000001,5.4658537,"NJ",32540400,18,136.50345,0,1,NA,0,0
"ND 09-2012",48.30481,-98.874977,26100,6,2012,1.7,1.2551985,"ND",32531400,11,73.404861,0,0,NA,0.000802301776130139,6.4494447546987
"CA 34-2012",33.08327,-116.96105,0,11,2012,0.2,2.0628932,"CA",32534100,11.585457,15.585457,0,0,NA,0,0
"NY 17-2012",42.32523,-78.889908,0,7,2012,0.30000001,2.8424306,"NY",32528700,15,102.45092,0,0,NA,0,0
"OK 05-2012",35.57016,-97.280457,3600,8,2012,0,4.4924154,"OK",32530500,21,73,1,0,NA,0.000110665375570618,0.889578586854994
"NY 10-2012",44.17786,-75.927681,0,7,2012,0,0.59652174,"NY",32538600,13,85.959129,0,0,NA,0,0
"AL 16-2012",32.67616,-85.369942,0,10,2012,0,22.680864,"AL",32537700,16,64,0,0,NA,0,0
"MI 21-2012",41.99003,-86.250427,0,10,2012,0.1,4.488914,"MI",32529600,11,64.418434,0,0,NA,0,0
"TX 03-2012",29.78534,-95.315193,0,9,2012,0,5.5296001,"TX",32534100,21,92,0,1,NA,0,0
"TX 05-2012",31.01926,-97.224136,0,10,2012,0,6.4747849,"TX",32533200,19,126.89211,0,0,NA,0,0
"VA 06-2012",37.2237,-79.468201,0,9,2012,0,25.592157,"VA",32524200,13,77.637405,0,1,NA,0,0
"VA 13-2012",35.70701,-76.4366,0,8,2012,0,6.6531215,"VA",28130400,20,182.10999,1,0,NA,0,0
"VA 17-2012",37.2259,-77.438103,0,8,2012,1.15,4.2550001,"VA",32527800,20,121.10176,1,0,NA,0,0
"NY 19-2012",41.52927,-74.236954,0,7,2012,0.050000001,2.5803144,"NY",32537700,13.399834,81.600998,0,0,NA,0,0
"AR 20-2012",34.66691,-92.012947,0,10,2012,0,5.4610391,"AR",32529600,9,88.770393,0,0,NA,0,0
"MA 20-2012",42.24151,-71.353409,0,10,2012,0,1.973384,"MA",32510700,10.379963,104.0424,0,0,NA,0,0
"OK 02-2012",36.9408,-99.980087,0,10,2012,0,9.5547447,"OK",32548500,13,44.679752,0,0,NA,0,0
"SD 11-2012",43.67644,-98.260483,0,10,2012,0,3.3347945,"SD",32542200,8,15,0,0,NA,0,0
"VA 21-2012",37.0467,-78.821198,0,9,2012,0,4.1724319,"VA",32538600,18,99.800735,0,1,NA,0,0
"AL 20-2012",30.84325,-88.132652,0,10,2012,0,11.593337,"AL",32532300,12,75.808952,0,0,NA,0,0
"PA 20-2012",40.99683,-77.013733,0,9,2012,0,7.2913146,"PA",32529600,14.622688,93.245369,0,1,NA,0,0
"LA 03-2012",30.30002,-91.216721,0,7,2012,0,3.9068515,"LA",32535900,23,221.65099,0,0,NA,0,0
"CA 46-2012",33.23829,-117.17894,0,11,2012,0.25,11.422164,"CA",32537700,13.973701,14.031084,0,0,NA,0,0
"NJ 13-2012",39.50298,-74.602478,0,8,2012,0,4.625083,"NJ",32526900,19,129,1,0,NA,0,0
"AL 04-2012",33.91605,-87.736153,0,10,2012,0,0,"AL",32525100,14,135.20659,0,0,NA,0,0
"MA 7-2012",41.98723,-70.91008,0,10,2012,0,2.5543859,"MA",32542200,6,136.02605,0,0,NA,0,0
"UT 03-2012",41.84138,-111.82135,0,9,2012,0,6.1491976,"UT",32544000,13,5.411458,0,1,NA,0,0
"FL 02-2011",28.53337,-82.30024,0,4,2012,0.050000001,4.4433284,"FL",32535000,15,58,0,0,NA,0,0
"AR 24-2012",34.91122,-92.501579,0,7,2012,0,2.8849347,"AR",32531400,23.7,30.72,0,0,NA,0,0
"MI 18-2012",42.32169,-83.238708,0,10,2012,0.050000001,15.785114,"MI",32542200,11,46.269989,0,0,NA,0,0
"FL 04-2012",30.1969,-85.631706,0,11,2012,0,6.3134923,"FL",32530500,8.6,20.61,0,0,NA,0,0
"MA 18-2012",42.31519,-71.270302,0,10,2012,0.64999998,24.645161,"MA",32532300,11,98.657425,0,0,NA,0,0
"AL 07-2012",32.345,-86.190002,0,9,2012,0,11.132621,"AL",32518800,21,118.5089,0,1,NA,0,0
"GA 02-2012",31.55252,-82.117737,0,9,2012,0,2.1288517,"GA",32534100,21,227.3998,0,1,NA,0,0
"TX 01-2012",33.54024,-101.6747,103500,9,2012,0,9.0470753,"TX",32533200,15,60.999996,0,1,NA,0.00318136549739958,25.5753843720811
"VA 19-2012",36.8916,-76.176903,0,8,2012,0.1,4.6159129,"VA",32542200,22,203.48766,1,0,NA,0,0
"VA 10-2012",38.2493,-77.141701,0,9,2012,4.1999998,5.3825321,"VA",32532300,14.532726,67,0,1,NA,0,0
"MD 09-2012",38.34775,-75.458252,0,10,2012,0,2.9342682,"MD",32526900,15,150,0,0,NA,0,0
"UT 02-2012",41.77114,-111.81154,0,9,2012,1,8.6533337,"UT",32538600,12,4.5553613,0,1,NA,0,0
"IL 10-2012",35.15527,-89.795525,0,9,2012,0,6.1921072,"IL",32526900,10,109,0,1,NA,0,0
"TX 10-2012",33.70177,-95.899681,0,10,2012,0,8.5266876,"TX",32541300,11,60.567162,0,0,NA,0,0
"SD 15-2012",44.9446,-97.040031,0,10,2012,0,18.535826,"SD",32536800,0,45.410236,0,0,NA,0,0
"SD 12-2012",43.50348,-97.54583,0,10,2012,0.44999999,2.5186007,"SD",32534100,8,20.661654,0,0,NA,0,0
"AL 19-2012",32.76859,-85.483612,0,10,2012,0,5.5758076,"AL",32541300,8,49,0,0,NA,0,0
"LA 01-2012",30.13613,-92.303307,0,6,2012,0,4.2429738,"LA",32534100,21.53583,112.6075,0,0,NA,0,0
"TX 09-2012",33.25113,-96.305687,15300,10,2012,2.4000001,1.7361112,"TX",32529600,11,40.05772,0,0,NA,0.000470340858787074,3.78070899413372
"IN 11-2012",39.38313,-86.624321,0,9,2012,0,3.4218378,"IN",32523300,14.356674,105.85339,0,1,NA,0,0
"UT 04-2012",41.9665,-111.97,0,9,2012,0,0.75273013,"UT",32539500,13,3,0,1,NA,0,0
"TX 08-2012",33.12832,-96.337318,5400,10,2012,0,6.722785,"TX",32532300,11.522957,36,0,0,NA,0.000165988878745124,1.33436788028249
"PA 01-2012",40.70171,-75.708076,1800,7,2012,0,2.5762196,"PA",32524200,13,118,0,0,NA,5.5343405833195e-05,0.444789293427497
"FL 13-2011",28.40552,-82.319656,0,4,2012,0.75,0.87113404,"FL",32537700,14.535997,61.071999,0,0,NA,0,0
"PA 03-2012",41.65395,-76.800461,0,8,2012,0,6.4512272,"PA",32534100,13,89.060448,1,0,NA,0,0
"FL 03-2011",28.36679,-82.250198,0,4,2012,0,5.1639342,"FL",32543100,15,64,0,0,NA,0,0
"PA 19-2012",41.16286,-77.334976,0,9,2012,0,1.8127209,"PA",32526000,15,96,0,1,NA,0,0
"CA 38-2012",33.66949,-116.30785,0,11,2012,0.94999999,7.575491,"CA",32532300,17.444498,0,0,0,NA,0,0
"FL 24-2012",30.62677,-87.020287,0,10,2012,0,0,"FL",32529600,14.2,65.78,0,0,NA,0,0
"AR 07-2012",35.94946,-90.349197,0,7,2012,0,2.180758,"AR",32531400,18,45.186768,0,0,NA,0,0
"OK 17-2012",236.6378,-99.002167,0,11,2012,0,7.6999998,"OK",32532300,5,8,0,0,NA,0,0
"MI 04-2012",43.74193,-85.705162,0,9,2012,0,7.2341771,"MI",32527800,11,80.999443,0,1,NA,0,0
"SD 07-2012",43.10751,-98.044212,0,9,2012,0,7.8682079,"SD",32542200,9,8,0,1,NA,0,0
"VA 09-2012",37.6587,-79.582497,0,9,2012,0,4.8398271,"VA",32535000,12.358194,96.567223,0,1,NA,0,0
"MI 03-2012",43.4058,-84.121788,1800,10,2012,0.050000001,13.952163,"MI",32527800,9,46.824196,0,0,NA,5.53372807260251e-05,0.444789293427497
"FL 12-2012",30.47209,-85.660767,0,11,2012,0,2.5222311,"FL",32537700,6.1,34.8,0,0,NA,0,0
"CA 35-2012",33.47396,-117.0277,0,11,2012,0.050000001,1.54811,"CA",32540400,12,9.6189165,0,0,NA,0,0
"MA 16-2012",41.80848,-71.139839,0,10,2012,0,8.521739,"MA",32536800,7.4160986,143.1678,0,0,NA,0,0
"PA 11-2012",40.59259,-77.57869,0,9,2012,0.89999998,4.4193549,"PA",32534100,11,134,0,1,NA,0,0
"UT 01-2012",38.5392,-109.54704,0,8,2012,1.45,22.582485,"UT",32531400,18,22,1,0,NA,0,0
"SD 09-2012",43.38944,-99.519279,3600,9,2012,0,3.4358323,"SD",32520600,8,4.5071173,0,1,NA,0.000110699064592904,0.889578586854994
"LA 11-2012",30.13609,-92.303238,0,11,2012,0.34999999,1.7022767,"LA",23208300,7,45.530846,0,0,NA,0,0
"NY 04-2012",43.16812,-78.495987,0,8,2012,0,1.8005391,"NY",32549400,16,49.661434,1,0,NA,0,0
"VA 15-2012",38.0571,-78.999603,0,9,2012,0.34999999,6.6271658,"VA",32534100,12,107,0,1,NA,0,0
"MD 03-2012",39.41573,-76.553467,0,9,2012,0,6.8297362,"MD",32526000,19.65296,131.7352,0,1,NA,0,0
"NY 08-2012",42.53421,-75.245857,0,6,2012,0,3.8967469,"NY",32544000,10.673166,74.653664,0,0,NA,0,0
"MA 24-2012",41.80848,-71.139839,0,10,2012,0.1,7.8498659,"MA",31961700,7.4160986,143.1678,0,0,NA,0,0
"OK 01-2012",34.76671,-97.724869,0,9,2012,1.15,8.2601261,"OK",32535900,16.461294,94,0,1,NA,0,0
"MI 24-2012",42.42883,-86.248413,0,10,2012,0.5,11.267056,"MI",26155800,11,55.000004,0,0,NA,0,0
"IN 12-2012",39.74056,-85.762718,0,9,2012,0,10.61141,"IN",32540400,11,190.37627,0,1,NA,0,0
"CA 45-2012",33.20887,-117.1624,0,11,2012,0,0.54462403,"CA",32535900,13.485121,14.582026,0,0,NA,0,0
"MI 13-2012",42.77476,-85.016273,0,10,2012,0,10.609687,"MI",32532300,10,55.052307,0,0,NA,0,0
"NJ 20-2012",40.06786,-74.489357,0,9,2012,0.34999999,25.702271,"NJ",32527800,18,121.77918,0,1,NA,0,0
"FL 05-2011",27.95017,-82.233559,0,4,2012,0.5,2.6829269,"FL",32532300,14.526611,43.104439,0,0,NA,0,0
"AR 19-2012",34.66275,-92.12619,0,9,2012,0,6.0044198,"AR",32525100,18,119,0,1,NA,0,0
"FL 23-2011",27.5501,-81.466713,0,3,2012,0.30000001,1.24,"FL",32539500,14,55.713978,0,0,NA,0,0
"NJ 09-2012",39.65981,-74.816727,0,8,2012,0,7.3866143,"NJ",32478802.6386719,18,123.95178,1,0,NA,0,0
"LA 04-2012",31.00015,-91.91671,0,8,2012,0.050000001,4.3495498,"LA",32535000,22,126,1,0,NA,0,0
"NY 18-2012",43.24628,-76.829491,0,7,2012,0.050000001,6.9312782,"NY",29938500,14,72.661095,0,0,NA,0,0
"IN 09-2012",38.87936,-87.453979,0,8,2012,0,3.517909,"IN",32535900,16,84.38549,1,0,NA,0,0
"AR 13-2012",35.14944,-90.326103,0,10,2012,0,14.005907,"AR",32537700,9,111.69351,0,0,NA,0,0
"MI 11-2012",43.03625,-83.875183,900,10,2012,0,18.637808,"MI",32541300,9,68,0,0,NA,2.76571618220538e-05,0.222394646713748
"GA 04-2012",32.9407,-82.147293,0,9,2012,0.2,3.4285715,"GA",32520600,20,221.08002,0,1,NA,0,0
"LA 06-2012",30.9335,-92.000252,0,9,2012,0,2.5108695,"LA",32514300,22,159.48355,0,1,NA,0,0
"MI 07-2012",42.09182,-86.402428,0,10,2012,0.050000001,23.053167,"MI",32521500,11,70.82209,0,0,NA,0,0
"GA 24-2012",31.4472,-82.270142,0,8,2012,0.1,0.31910276,"GA",31438800,21,213.11169,1,0,NA,0,0
"ND 19-2012",46.55024,-99.600014,13500,7,2012,0.2,3.4569535,"ND",32535900,16,50.446014,0,0,NA,0.000414926281430666,3.33591970070623
"MA 17-2012",42.16906,-71.642448,0,10,2012,0,17.835897,"MA",32537700,6,139.08002,0,0,NA,0,0
"NY 12-2012",43.2702,-76.638962,0,7,2012,0.25,3.2744186,"NY",32530500,17,55.469788,0,0,NA,0,0
"CA 48-2012",33.505,-117.00365,0,11,2012,0,19.596195,"CA",32534100,12,9.1198549,0,0,NA,0,0
"GA 19-2012",31.45709,-82.240471,0,8,2012,0,0.50530255,"GA",32526900,21,214.34996,1,0,NA,0,0
"NJ 18-2012",39.73638,-75.096542,0,8,2012,0.25,1.7757847,"NJ",32422500,19,111.71315,1,0,NA,0,0
"MD 11-2012",39.64489,-76.33873,900,10,2012,0.25,31.40394,"MD",32528700,8,254.39813,0,0,NA,2.76678748305343e-05,0.222394646713748
"GA 05-2012",31.88294,-83.450058,0,9,2012,0,7.3544574,"GA",32530500,21,160,0,1,NA,0,0
"MA 6-2012",42.16093,-71.713112,0,10,2012,0,23.405798,"MA",31635900,11,118.32134,0,0,NA,0,0
"CA 39-2012",33.3182,-117.04174,0,11,2012,1.4,4.7142859,"CA",32521500,12.999596,12,0,0,NA,0,0
"MD 01-2012",39.58322,-76.743088,0,9,2012,0,8.3234167,"MD",32535900,18,109.70014,0,1,NA,0,0
"CA 37-2012",33.31723,-117.02754,0,11,2012,0,0.25917253,"CA",32523300,12.970879,12,0,0,NA,0,0
"LA 05-2012",31.0035,-92.060158,0,9,2012,0.40000001,6.9072165,"LA",32532300,22,155.10893,0,1,NA,0,0
"AR 15-2012",34.93948,-91.561127,0,8,2012,0,4.8917646,"AR",32537700,21,114.15905,1,0,NA,0,0
"NJ 22-2012",39.20327,-74.883217,0,8,2012,2.2,12.93424,"NJ",32524200,19,123.61556,1,0,NA,0,0
"IL 15-2012",41.65527,-87.836945,0,10,2012,0,20.426573,"IL",32537700,11,132,0,0,NA,0,0
"LA 02-2012",30.93342,-91.716682,0,7,2012,0.2,6.9161677,"LA",32528700,21,94.476906,0,0,NA,0,0
"SD 10-2012",43.16706,-96.978279,0,9,2012,0.15000001,10.499249,"SD",32531400,8,15,0,1,NA,0,0
"SD 06-2012",45.85789,-99.960258,22950,9,2012,0,26.076458,"SD",31045950,5.5253878,2.5253878,0,1,NA,0.000739226855676827,5.67106349120059
"SD 04-2012",43.49711,-100.17085,3496500,8,2012,0.15000001,0,"SD",32530500,14,16,1,0,NA,0.107483746022963,864.003202482913
"MA 22-2012",42.60579,-72.739372,0,10,2012,0,24.904228,"MA",32539500,8.4345016,162.69649,0,0,NA,0,0
"IN 07-2012",40.58182,-85.87812,0,8,2012,0,8.2469044,"IN",32528700,14,118,1,0,NA,0,0
"GA 06-2012",32.19953,-82.044113,18000,8,2012,0,0,"GA",32542200,21,219,1,0,NA,0.000553127938492173,4.44789293427497
"ND 13-2012",48.71565,-100.36302,6300,7,2012,0,0,"ND",32539500,10,77.241837,0,0,NA,0.000193610842207164,1.55676252699624
"SD 03-2012",43.3015,-98.869118,3861900,8,2012,0.050000001,0.62244177,"SD",32523300,14,25,1,0,NA,0.118742563024047,954.295429048694
"AR 16-2012",35.60085,-91.241493,0,8,2012,0,3.2592819,"AR",32522400,19.469042,71.93808,1,0,NA,0,0
"IN 08-2012",39.56603,-86.387939,0,8,2012,0,9.3034573,"IN",32528700,15.649372,142.64937,1,0,NA,0,0
"PA 08-2012",41.55345,-77.127357,0,10,2012,0,10.652055,"PA",32536800,8,140.7066,0,0,NA,0,0
"LA 09-2012",30.42874,-90.1707,0,11,2012,0.40000001,5.6980934,"LA",32535900,13,29.359453,0,0,NA,0,0
"ND 15-2012",48.43347,-98.166763,0,6,2012,1.3,4.9330955,"ND",32538600,10.74122,70.075569,0,0,NA,0,0
"NC 02-2012",35.23866,-79.77755,2700,9,2012,0,6.753521,"NC",32532300,19,150.03023,0,1,NA,8.2994439372562e-05,0.667183940141245
"NJ 21-2012",39.49589,-74.863518,0,8,2012,0.55000001,1.4212219,"NJ",32533200,18,125,1,0,NA,0,0
"ND 17-2012",97.50008,-97.500076,8100,6,2012,0.1,0.43701801,"ND",32541300,12,52.403301,0,0,NA,0.000248914456398484,2.00155182042374
"NJ 19-2012",40.01583,-74.217613,0,9,2012,0.75,10.432805,"NJ",32542200,18,131.99567,0,1,NA,0,0
"FL 04-2011",27.98856,-82.250031,0,4,2012,0.050000001,2.2293122,"FL",32526900,14.00148,43.961052,0,0,NA,0,0
"GA 17-2012",32.04935,-82.542168,0,8,2012,0,5.2365341,"GA",32529600,21,191,1,0,NA,0,0
"LA 08-2012",29.70025,-89.983345,0,10,2012,0.050000001,5.0971994,"LA",32526900,15,25.424274,0,0,NA,0,0
"AR 22-2012",33.47475,-91.245026,0,9,2012,0,11.365639,"AR",30826800,21,120.45522,0,1,NA,0,0
"ND 21-2012",48.3031,-99.397797,0,6,2012,1,0,"ND",30252600,11,90.261139,0,0,NA,0,0
"NY 23-2012",43.0796,-77.985519,900,7,2012,0,10.643664,"NY",32543100,17,51.999996,0,0,NA,2.76556320694709e-05,0.222394646713748
"AR 14-2012",35.98923,-94.334877,0,8,2012,0,12.609271,"AR",32539500,18,83,1,0,NA,0,0
"CA 40-2012",33.18385,-117.19459,0,11,2012,0,0,"CA",32536800,13.622726,15,0,0,NA,0,0
"ND 14-2012",47.93345,-97.333557,45900,6,2012,0.050000001,8.6663513,"ND",32534100,12,54.443108,0,0,NA,0.00141082740878033,11.3421269824012
"AR 18-2012",33.62194,-91.183502,0,9,2012,0,4.7519426,"AR",32018400,21,112.18388,0,1,NA,0,0
"TX 07-2012",31.14385,-97.317284,0,10,2012,0,7.4065228,"TX",32530500,12,8.5828209,0,0,NA,0,0
"FL 08-2011",28.4167,-82.250153,0,3,2012,1.6,0,"FL",32530500,12,44.999996,0,0,NA,0,0
"CA 36-2012",33.44556,-116.85839,0,11,2012,0,3.7258568,"CA",32540400,10.569229,8,0,0,NA,0,0
"ND 01-2012",46.52166,-101.25905,1833300,7,2012,0.15000001,18.890678,"ND",32539500,15,60.245701,0,0,NA,0.0563407550822846,453.017895355906
"IN 14-2012",38.59273,-87.561058,0,10,2012,0,3.3271029,"IN",32545800,6,90.045677,0,0,NA,0,0
"NY 01-2012",42.94159,-76.927147,0,8,2012,0,0.53149605,"NY",32525100,18,72.384926,1,0,NA,0,0
"ND 10-2012",48.3031,-99.397797,4500,6,2012,0.40000001,0.21810406,"ND",32521500,11,90.261139,0,0,NA,0.0001383700013837,1.11197323356874
"AL 06-2012",31.15535,-85.346649,0,10,2012,0.050000001,2.1059113,"AL",32533200,19,136.4343,0,0,NA,0,0
"NJ 02-2012",40.46399,-74.57,0,9,2012,NA,1.1708254,"NJ",31734900,13,70.754555,0,1,NA,0,0
"MA 11-2012",41.89767,-70.909927,0,7,2012,1.55,11.631206,"MA",32537700,13,89.207245,0,0,NA,0,0
"GA 16-2012",31.62987,-82.217178,0,8,2012,0.1,6.3616071,"GA",32527800,21,228,1,0,NA,0,0
"FL 01-2011",28.45842,-82.349113,0,3,2012,2.55,0.82204366,"FL",32537700,12,53,0,0,NA,0,0
"FL 12-2011",28.41687,-82.250183,0,3,2012,1.15,13.730159,"FL",32535000,14,21.49481,0,0,NA,0,0
"SD 13-2012",43.83878,-101.65652,0,10,2012,0.050000001,0,"SD",32533200,8,2,0,0,NA,0,0
"NJ 16-2012",39.91605,-74.915863,0,8,2012,0,0.82488477,"NJ",32542200,18,115,1,0,NA,0,0
"FL 06-2011",28.05017,-81.600182,0,3,2012,0.89999998,2.8888888,"FL",32535900,15,28,0,0,NA,0,0
"IL 3-2012",37.97645,-89.102013,0,9,2012,1,2.6935484,"IL",32527800,13,240,0,1,NA,0,0
"MA 13-2012",42.42613,-71.513046,0,8,2012,0,1.2571429,"MA",32458938.15625,16,112.37971,1,0,NA,0,0
"ID 11-2011",38.58777,-87.649719,0,8,2012,0.1,5.2393856,"ID",32458165.3128662,11,11,1,0,NA,0,0
"NH 14-2011",42.853,-71.699997,900,7,2012,0.050000001,2.9032259,"NH",32459664.0146484,12,120.73847,0,0,NA,2.77267195246952e-05,0.222394646713748
"IN 04-2012",39.19543,-85.103973,0,8,2012,0,9.2026033,"IN",32460825.7078857,19,59.920326,1,0,NA,0,0
"AL 03-2012",33.67065,-86.878082,0,9,2012,0,12.475014,"AL",32459457.828125,16,143,0,1,NA,0,0
"NC 21-2012",79.70454,-35.58992,0,8,2012,0,11.189845,"NC",32456448.8320312,19,118,1,0,NA,0,0
"NJ 11-2012",38.99789,-74.891457,0,10,2012,0.050000001,1.6231884,"NJ",28335946.328125,16,69.852592,0,0,NA,0,0
"ND 05-2012",46.61683,-97.616669,7200,7,2012,0.40000001,0.10213316,"ND",32460640.3066406,13,54.483643,0,0,NA,0.000221807084887573,1.77915717370999
"FL 22-2011",30.73108,-85.640038,0,3,2012,1.25,0.41917807,"FL",32486658.396637,12,129.40419,0,0,NA,0,0
"AL 10-2012",32.62959,-86.005302,0,11,2012,0.15000001,20.830801,"AL",32463778.2666016,2,29,0,0,NA,0,0
"OH 08-2011",40.01088,-83.040627,0,4,2012,0,2.748565,"OH",32456527.21875,4,43.098213,0,0,NA,0,0
"MT 17-2011",45.34502,-106.15184,0,6,2012,0.5,1.7767049,"MT",32460349.4375,3,48,0,0,NA,0,0
"IA 03-2012",42.1144,-93.145538,0,10,2012,0.75,0,"IA",32453481.4136353,2,74.503342,0,0,NA,0,0
"MN 13-2011",46.32984,-94.157257,0,6,2012,3.9000001,0.32613099,"MN",32463365.6992188,7,198.84795,0,0,NA,0,0
"ID 07-2012",43.55577,-116.1199,0,8,2012,0,4.0749998,"ID",32462894.0467529,14.534208,0,1,0,NA,0,0
"NJ 14-2012",39.25941,-74.725761,0,10,2012,1.25,20.746561,"NJ",32461074.515625,14.520794,76.520798,0,0,NA,0,0
"NY 06-2012",42.97702,-78.432899,0,7,2012,2.0999999,5.9942012,"NY",32472693.3623047,17,49.437302,0,0,NA,0,0
"AL 21-2012",30.55124,-87.690079,0,10,2012,0,5.3732133,"AL",32459498.3789062,12,66.096558,0,0,NA,0,0
"IN 15-2012",39.27852,-87.464142,0,10,2012,0,9.3163843,"IN",32457621.1941528,6,88.30864,0,0,NA,0,0
"SD 22-2012",45.0382,-101.15651,3293057,9,2012,0,0.25152439,"SD",32454280.5273438,8,0,0,1,NA,0.101467570579033,813.731386803596
"CA 48-2011",39.1724,-121.74883,63355.19140625,2,2012,0,0,"CA",32481266.5087891,4,20.738153,0,0,NA,0.0019505148110252,15.6553949003054
"NH 10-2011",43.301,-71.469002,0,6,2012,0.30000001,1.52,"NH",32477237.7734375,11.484953,119.9699,0,0,NA,0,0
"ID 17-2011",39.75083,-89.443336,0,6,2012,0,12.889274,"ID",32461499.0380249,4,45,0,0,NA,0,0
"MI 12-2012",43.30413,-83.010567,0,10,2012,0.050000001,2.4430692,"MI",32485054.8291626,4,108.1732,0,0,NA,0,0
"NH 17-2011",43.031,-71.252998,0,7,2012,0,6.1643834,"NH",32469369.296875,16,43.312492,0,0,NA,0,0
"NY 05-2012",42.95059,-77.276947,0,7,2012,0.30000001,7.2957745,"NY",32459267.9609375,14,76,0,0,NA,0,0
"NH 22-2011",43.272,-71.488998,0,8,2012,0.050000001,4.347826,"NH",32481596.7910156,14,67.150246,1,0,NA,0,0
"AR 17-2012",36.02145,-94.207123,0,8,2012,0,1.8773006,"AR",32461420.703125,18,86.796577,1,0,NA,0,0
"ID 02-2012",42.55163,-113.72478,0,8,2012,0,0.30927834,"ID",32464558.0605469,12,7,1,0,NA,0,0
"ID 06-2012",42.50399,-114.83453,0,8,2012,0.050000001,2.4926109,"ID",32476289.8153076,13.311159,10,1,0,NA,0,0
"SD 14-2012",44.15673,-97.305618,0,10,2012,0.050000001,4.625,"SD",32463338.859375,0,38,0,0,NA,0,0
"MN 12-2011",44.47555,-93.259354,0,6,2012,0,2.8308823,"MN",32454129.28125,12,119.53929,0,0,NA,0,0
"NJ 08-2012",40.38199,-74.916138,30600,9,2012,0,0.93727976,"NJ",32457036.440918,13,85,0,1,NA,0.000942784781219987,7.56141798826745
"MI 23-2012",42.04713,-86.1996,0,10,2012,0.050000001,8.8360462,"MI",32457264.246582,11,62.992523,0,0,NA,0,0
"MD 22-2011",38.57353,-75.792038,0,6,2012,1.05,6.1871104,"MD",32497859.8696289,15,54.237316,0,0,NA,0,0
"IL 8-2012",41.28576,-89.491287,0,9,2012,0.64999998,0,"IL",32456495.2382812,7.5086555,33,0,1,NA,0,0
"NJ 12-2012",41.18595,-74.478577,0,9,2012,0,8.1618032,"NJ",32460323.8691406,11,157.4772,0,1,NA,0,0
"NY 02-2012",43.90358,-75.590767,0,8,2012,0.60000002,3.711448,"NY",32464964.21875,13,70.309875,1,0,NA,0,0
"VA 05-2012",36.83475,-81.479233,0,10,2012,0,8.1502495,"VA",32459937.2103271,11,117.8703,0,0,NA,0,0
"NM 10-2011",34.42232,-77.904716,0,7,2012,0.050000001,0.20718232,"NM",32486090.453125,13,2.4989393,0,0,NA,0,0
"PA 18-2012",40.47558,-79.765099,0,9,2012,0,7.7256584,"PA",32460983.78125,11,132.44138,0,1,NA,0,0
"TN 10-2011",35.038,-89.278679,0,4,2012,0,6.017715,"TN",32466216.3515625,9,50.571678,0,0,NA,0,0
"UT 05-2012",41.79247,-111.81008,0,9,2012,0,5.9439178,"UT",32498050.0908203,12.187223,4.7641139,0,1,NA,0,0
"MN 19-2011",45.75916,-94.516579,900,6,2012,0.94999999,1.5425532,"MN",32462598.5917969,14,111,0,0,NA,2.77242130649216e-05,0.222394646713748
"IN 01-2012",38.93535,-84.908493,0,7,2012,0,8.8828993,"IN",32303753.28479,20,53.171192,0,0,NA,0,0
"ND 07-2012",48.39634,-99.874451,111600,7,2012,0.30000001,1.0977131,"ND",32459510.7128906,10,90.134621,0,0,NA,0.00343812945879312,27.5769361925048
"IA 20-2011",43.56561,-116.80506,0,5,2012,0.15000001,4.29,"IA",32459347.1460571,11,61.829708,0,0,NA,0,0
"SD 18-2012",44.89309,-98.80233,3600,10,2012,0,18.234928,"SD",32467580.6875,0,25.232208,0,0,NA,0.000110879835324041,0.889578586854994
"MN 1-2011",46.16552,-95.12088,0,6,2012,0.44999999,0.79628253,"MN",32463224.4082031,10,212.04758,0,0,NA,0,0
"NC 24-2012",35.81915,-79.667107,0,8,2012,0,9.4583721,"NC",32457511.7451172,19,133,1,0,NA,0,0
"NJ 18-2011",40.58368,-75.044289,0,5,2012,0,1.3414634,"NJ",32457964.3359375,11,123.20548,0,0,NA,0,0
"MD 25-2011",39.43122,-76.278122,0,7,2012,0,3.4354839,"MD",28026624.9599609,17,118,0,0,NA,0,0
"OH 01-2012",39.7944,-82.640991,0,10,2012,0,16.120001,"OH",32462470.8310547,11,106.99999,0,0,NA,0,0
"MI 20-2012",43.2967,-83.057419,0,10,2012,0,4.0847631,"MI",32479230.1782227,4,108.22688,0,0,NA,0,0
"NM 11-2011",35.9131,-76.626999,0,7,2012,0,8.4615383,"NM",32488954.765625,17,27.415794,0,0,NA,0,0
